ja,en
あの人[ひと]はだれですか,who is that person; hito means person.
展示[てんじ]されている作品[さくひん]に手[て]で触[ふ]れないでください,please do not touch the works on display; fureru means to touch.
妹[いもうと]は今年[ことし]高校[こうこう]に入学[にゅうがく]しました,my younger sister entered high school this year; nyugaku suru means to enroll.
日曜日[にちようび]に博物館[はくぶつかん]で古[ふる]い道具[どうぐ]を見[み]ました,on Sunday I saw old tools at the museum; hakubutsukan means museum.
新[あたら]しい美術館[びじゅつかん]で有名[ゆうめい]な作品[さくひん]を見[み]ました,I saw famous works at the new art museum; bijutsukan means art museum.
駅[えき]の近[ちか]くの劇場[げきじょう]で友達[ともだち]と会[あ]いました,I met a friend at the theater near the station; gekijo means theater.
妹[いもうと]は音楽会[おんがくかい]でピアノを演奏[えんそう]しました,my sister played the piano at the concert; enso suru means to perform music.
舞台[ぶたい]の上[うえ]で子供[こども]たちが歌[うた]いました,the children sang on the stage; butai means stage.
この映画[えいが]の俳優[はいゆう]はとても有名[ゆうめい]です,the actor in this film is very famous; haiyu means actor.
この作品[さくひん]の監督[かんとく]は若[わか]い女性[じょせい]です,the director of this work is a young woman; kantoku means director.
公園[こうえん]で映画[えいが]の撮影[さつえい]をしていました,they were filming a movie in the park; satsuei suru means to shoot film.
この着物[きもの]の模様[もよう]はとても美[うつく]しいです,the pattern of this kimono is very beautiful; moyo means pattern.
会議[かいぎ]の資料[しりょう]を五十枚[ごじゅうまい]印刷[いんさつ]しました,I printed fifty sheets of meeting material; insatsu suru means to print.
先生[せんせい]は去年[きょねん]新[あたら]しい本[ほん]を出版[しゅっぱん]しました,the teacher published a new book last year; shuppan suru means to publish.
冬[ふゆ]の夜[よる]は空[そら]の星[ほし]が強[つよ]く輝[かがや]くそうです,they say the stars shine brightly on winter nights; kagayaku means to shine.
記者[きしゃ]が長[なが]い記事[きじ]を短[みじか]く編集[へんしゅう]しました,the reporter edited the long article down; henshu suru means to edit.
夕方[ゆうがた]に太陽[たいよう]が海[うみ]に沈[しず]むのを見[み]ました,I watched the sun sink into the sea in the evening; shizumu means to sink.
その会議[かいぎ]では外国語[がいこくご]の通訳[つうやく]が必要[ひつよう]でした,an interpreter was needed at that meeting; tsuyaku means interpretation.
新[あたら]しい制度[せいど]について長[なが]い時間[じかん]議論[ぎろん]しました,we discussed the new system for a long time; giron suru means to debate.
静[しず]かな湖[みずうみ]に小[ちい]さい船[ふね]が浮[う]かんでいます,a small boat is floating on the quiet lake; ukabu means to float.
会議[かいぎ]の結論[けつろん]はまだ出[で]ていません,the conclusion of the meeting has not come yet; ketsuron means conclusion.
彼[かれ]の話[はなし]には証拠[しょうこ]がありません,there is no evidence for his story; shoko means evidence.
新聞[しんぶん]の記事[きじ]は事実[じじつ]と少[すこ]し違[ちが]います,the newspaper article differs a little from the facts; jijitsu means fact.
若[わか]い時[とき]の理想[りそう]を今[いま]も覚[おぼ]えています,I still remember my ideals from when I was young; riso means ideal.
理想[りそう]と現実[げんじつ]の違[ちが]いはとても大[おお]きいです,the gap between ideal and reality is very big; genjitsu means reality.
今年[ことし]の目標[もくひょう]は本[ほん]を五十冊[ごじゅうさつ]読[よ]むことです,this year goal is to read fifty books; mokuhyo means goal.
会社[かいしゃ]の新[あたら]しい方針[ほうしん]が昨日[きのう]発表[はっぴょう]されました,the new company policy was announced yesterday; hoshin means policy.
子供[こども]が庭[にわ]で小[ちい]さい虫[むし]を捕[つか]まえました,a child caught a small insect in the garden; tsukamaeru means to catch.
近[ちか]くの町[まち]と協力[きょうりょく]して祭[まつ]りを開[ひら]きます,we hold the festival in cooperation with the nearby town; kyoryoku suru means to cooperate.
この論文[ろんぶん]は私[わたし]の研究[けんきゅう]の参考[さんこう]になりました,this paper was a useful reference for my research; sanko means reference.
宇宙[うちゅう]には水[みず]がある惑星[わくせい]があるそうです,they say there are planets with water in space; wakusei means planet.
この二[ふた]つの言葉[ことば]の意味[いみ]を区別[くべつ]するのは難[むずか]しいです,distinguishing the meanings of these two words is hard; kubetsu suru means to distinguish.
学生[がくせい]は自分[じぶん]で講義[こうぎ]を選択[せんたく]します,students choose their lectures themselves; sentaku suru means to select.
駅[えき]の前[まえ]の新[あたら]しい建物[たてもの]が来年[らいねん]完成[かんせい]します,the new building in front of the station is completed next year; kansei suru means to be completed.
政府[せいふ]は新[あたら]しい経済[けいざい]政策[せいさく]を発表[はっぴょう]した,the government announced a new economic policy; seisaku means policy.
政府[せいふ]は事故[じこ]を防[ふせ]ぐ措置[そち]を取[と]った,the government took steps to prevent accidents; sochi means measure or step.
新[あたら]しい制度[せいど]について議論[ぎろん]が続[つづ]いている,debate about the new system continues; giron means debate or discussion.
新聞[しんぶん]は政府[せいふ]の計画[けいかく]の問題[もんだい]を指摘[してき]した,the newspaper pointed out problems in the government's plan; shiteki suru means to point out.
市[し]の行政[ぎょうせい]の仕事[しごと]は年々[ねんねん]増[ふ]えている,the city's administrative work increases year by year; gyousei means public administration.
父[ちち]は駅[えき]の近[ちか]くで小[ちい]さな店[みせ]を経営[けいえい]している,my father runs a small shop near the station; keiei means management of a business.
新[あたら]しい商品[しょうひん]が会社[かいしゃ]の収益[しゅうえき]を大[おお]きく増[ふ]やした,the new product greatly increased the company's earnings; shuueki means earnings.
その会社[かいしゃ]は外国[がいこく]に多[おお]くのお金[かね]を投資[とうし]した,that company invested a lot of money abroad; toushi means investment.
若[わか]い人[ひと]が今[いま]の政府[せいふ]を支持[しじ]している,young people support the current government; shiji means support or backing.
新[あたら]しい政策[せいさく]は強[つよ]い批判[ひはん]を受[う]けた,the new policy drew strong criticism; hihan means criticism.
若[わか]い議員[ぎいん]が会議[かいぎ]で自分[じぶん]の意見[いけん]を言[い]った,a young lawmaker gave his own opinion at the meeting; giin means assembly member.
議員[ぎいん]は制度[せいど]を変[か]える必要[ひつよう]があると主張[しゅちょう]した,the lawmaker argued that the system must change; shuchou means assertion.
会社[かいしゃ]の責任者[せきにんしゃ]が問題[もんだい]について説明[せつめい]した,the person in charge of the company explained the problem; sekininsha means the person responsible.
首相[しゅしょう]は国民[こくみん]に協力[きょうりょく]を求[もと]めた,the prime minister asked the public for cooperation; shushou means prime minister.
内閣[ないかく]は昨日[きのう]新[あたら]しい政策[せいさく]を決[き]めた,the cabinet decided on a new policy yesterday; naikaku means cabinet.
その政党[せいとう]には若[わか]い議員[ぎいん]が多[おお]い,that party has many young lawmakers; seitou means political party.
来月[らいげつ]二[ふた]つの国[くに]の首脳[しゅのう]が集[あつ]まる,the leaders of the two countries will gather next month; shunou means top leader.
世論[よろん]は政府[せいふ]の政策[せいさく]に反対[はんたい]している,public opinion opposes the government's policy; yoron means public opinion.
首相[しゅしょう]の演説[えんぜつ]を多[おお]くの人[ひと]が聞[き]いた,many people listened to the prime minister's speech; enzetsu means speech.
議員[ぎいん]の発言[はつげん]が大[おお]きな批判[ひはん]を受[う]けた,the lawmaker's remark drew heavy criticism; hatsugen means remark.
首相[しゅしょう]は隣[となり]の国[くに]の首脳[しゅのう]と会談[かいだん]した,the prime minister held talks with the neighboring country's leader; kaidan means talks.
社長[しゃちょう]は夜[よる]に記者[きしゃ]会見[かいけん]を行[おこな]った,the president held a press conference at night; kaiken means press interview.
その事件[じけん]についての報道[ほうどう]が続[つづ]いている,reporting about that incident continues; houdou means news coverage.
憲法[けんぽう]を変[か]えるかどうか議論[ぎろん]が続[つづ]く,debate continues over whether to change the constitution; kenpou means constitution.
議員[ぎいん]たちが新[あたら]しい法律[ほうりつ]を長[なが]い時間[じかん]審議[しんぎ]した,the lawmakers deliberated the new law for a long time; shingi suru means to deliberate.
社長[しゃちょう]は会社[かいしゃ]をやめる考[かんが]えを表明[ひょうめい]した,the president stated his intention to leave the company; hyoumei suru means to declare publicly.
政府[せいふ]は車[くるま]についての新[あたら]しい規制[きせい]を作[つく]る,the government will create new regulations on cars; kisei means regulation.
この店[みせ]に入[はい]る人[ひと]の数[かず]には制限[せいげん]がある,there is a limit on the number of people entering this shop; seigen means restriction.
その計画[けいかく]は昨日[きのう]の会議[かいぎ]で承認[しょうにん]された,the plan was approved at yesterday's meeting; shounin suru means to approve.
その会社[かいしゃ]は新[あたら]しい規制[きせい]に違反[いはん]した,that company violated the new regulation; ihan suru means to violate.
違反[いはん]した会社[かいしゃ]は重[おも]い処分[しょぶん]を受[う]けた,the company that broke the rules received a heavy punishment; shobun means disposition.
その事件[じけん]の裁判[さいばん]は来月[らいげつ]始[はじ]まる,the trial for that case starts next month; saiban means trial.
裁判[さいばん]の判決[はんけつ]は来週[らいしゅう]出[で]る,the verdict of the trial comes out next week; hanketsu means verdict.
会社[かいしゃ]は大[おお]きな訴訟[そしょう]に負[ま]けた,the company lost a big lawsuit; soshou means lawsuit.
人々[ひとびと]は会社[かいしゃ]を裁判[さいばん]で訴[うった]えた,the people sued the company in court; uttaeru means to sue.
警察[けいさつ]は昨日[きのう]若[わか]い男[おとこ]を逮捕[たいほ]した,the police arrested a young man yesterday; taiho suru means to arrest.
警察[けいさつ]は事件[じけん]の捜査[そうさ]を続[つづ]けている,the police continue the investigation of the case; sousa means criminal investigation.
その社長[しゃちょう]には会社[かいしゃ]のお金[かね]を使[つか]った容疑[ようぎ]がある,that president is suspected of using company money; yougi means suspicion of a crime.
事件[じけん]を調[しら]べた後[あと]でその男[おとこ]は起訴[きそ]された,after the case was investigated the man was indicted; kiso suru means to indict.
この町[まち]の治安[ちあん]は前[まえ]より良[よ]くなった,public safety in this town is better than before; chian means public security.
二[ふた]つの会社[かいしゃ]の交渉[こうしょう]は長[なが]く続[つづ]いた,negotiations between the two companies lasted a long time; koushou means negotiation.
契約書[けいやくしょ]をよく読[よ]んでから名前[なまえ]を書[か]く,read the contract carefully before writing your name; keiyakusho means written contract.
二[ふた]つの国[くに]が新[あたら]しい条約[じょうやく]を結[むす]んだ,the two countries concluded a new treaty; jouyaku means treaty.
首相[しゅしょう]は外交[がいこう]について自分[じぶん]の考[かんが]えを示[しめ]した,the prime minister showed his own thinking on diplomacy; gaikou means diplomacy.
国[くに]の防衛[ぼうえい]にかかるお金[かね]が増[ふ]えている,money spent on the country's defense is increasing; bouei means defense.
政府[せいふ]の統計[とうけい]によると人口[じんこう]は減[へ]っている,according to government statistics the population is falling; toukei means statistics.
夏[なつ]は電気[でんき]の需要[じゅよう]が大[おお]きくなる,demand for electricity grows in summer; juyou means demand.
電気[でんき]の供給[きょうきゅう]が足[た]りなくなっている,the supply of electricity is running short; kyoukyuu means supply.
消費[しょうひ]が減[へ]ると経済[けいざい]は弱[よわ]くなる,when consumption falls the economy weakens; shouhi means consumption.
今年[ことし]は食[た]べ物[もの]の物価[ぶっか]が大[おお]きく上[あ]がった,food prices rose sharply this year; bukka means the price level of goods.
景気[けいき]が良[よ]くなって仕事[しごと]が増[ふ]えた,business conditions improved and jobs increased; keiki means economic conditions.
二[ふた]つの国[くに]は同[おな]じ通貨[つうか]を使[つか]っている,the two countries use the same currency; tsuuka means currency.
二[ふた]つの会社[かいしゃ]の競争[きょうそう]が強[つよ]くなった,competition between the two companies grew stronger; kyousou means competition.
今日[きょう]の株価[かぶか]は大[おお]きく下[さ]がった,share prices fell sharply today; kabuka means stock price.
株主[かぶぬし]は会社[かいしゃ]に強[つよ]く説明[せつめい]を求[もと]めた,shareholders strongly demanded an explanation from the company; kabunushi means shareholder.
その会社[かいしゃ]の業績[ぎょうせき]は今年[ことし]良[よ]くなった,that company's performance improved this year; gyouseki means business results.
新[あたら]しい研究[けんきゅう]には多[おお]くの資金[しきん]が必要[ひつよう]だ,new research needs a lot of funds; shikin means funds.
会社[かいしゃ]の資産[しさん]は去年[きょねん]より増[ふ]えた,the company's assets increased over last year; shisan means assets.
会社[かいしゃ]は今年[ことし]も大[おお]きな赤字[あかじ]になった,the company ran a big deficit again this year; akaji means deficit.
政府[せいふ]は来年[らいねん]の支出[ししゅつ]を減[へ]らす,the government will cut next year's spending; shishutsu means expenditure.
銀行[ぎんこう]の金利[きんり]が去年[きょねん]から上[あ]がっている,bank interest rates have been rising since last year; kinri means interest rate.
会社[かいしゃ]は毎月[まいつき]の経費[けいひ]を細[こま]かく調[しら]べた,the company examined its monthly expenses in detail; keihi means business expenses.
高[たか]い費用[ひよう]は小[ちい]さな会社[かいしゃ]の負担[ふたん]になる,high costs are a burden on small companies; futan means burden.
来年[らいねん]から食[た]べ物[もの]の税率[ぜいりつ]が変[か]わる,the tax rate on food changes from next year; zeiritsu means tax rate.
国[くに]の財政[ざいせい]は年々[ねんねん]厳[きび]しくなっている,the nation's finances get tighter every year; zaisei means public finance.
事故[じこ]で会社[かいしゃ]は大[おお]きな損失[そんしつ]を出[だ]した,the accident caused the company a big loss; sonshitsu means loss.
若[わか]い社員[しゃいん]の賃金[ちんぎん]が少[すこ]し上[あ]がった,wages for young employees rose slightly; chingin means wages.
政府[せいふ]は若[わか]い人[ひと]の雇用[こよう]を守[まも]りたい,the government wants to protect employment for young people; koyou means employment.
この町[まち]では失業[しつぎょう]する人[ひと]の数[かず]が増[ふ]えている,the number of people losing their jobs is rising in this town; shitsugyou suru means to lose one's job.
新[あたら]しい方法[ほうほう]で仕事[しごと]の効率[こうりつ]が上[あ]がった,the new method raised work efficiency; kouritsu means efficiency.
機械[きかい]を使[つか]って生産性[せいさんせい]を高[たか]めた,they used machines to raise productivity; seisansei means productivity.
会社[かいしゃ]は働[はたら]き方[かた]の改善[かいぜん]を続[つづ]けている,the company keeps improving the way people work; kaizen means improvement.
長[なが]い間[あいだ]の仕事[しごと]で客[きゃく]の信用[しんよう]を得[え]た,long years of work earned the customers' trust; shinyou means trust or credit.
その国[くに]は外国[がいこく]の車[くるま]に高[たか]い関税[かんぜい]をかける,that country puts high tariffs on foreign cars; kanzei means tariff.
この国[くに]は車[くるま]の輸出[ゆしゅつ]が多[おお]い,this country exports many cars; yushutsu means export.
食[た]べ物[もの]の多[おお]くを外国[がいこく]から輸入[ゆにゅう]している,much of the food is imported from abroad; yunyuu means import.
為替[かわせ]の動[うご]きが会社[かいしゃ]の利益[りえき]を変[か]える,currency movements change the company's profits; kawase means foreign exchange.
金融[きんゆう]の問題[もんだい]で株価[かぶか]が大[おお]きく下[さ]がった,financial trouble pushed stock prices down sharply; kinyuu means finance.
その会社[かいしゃ]の株式[かぶしき]を多[おお]くの人[ひと]が持[も]っている,many people hold shares in that company; kabushiki means stock or shares.
この計画[けいかく]にはまだ多[おお]くの課題[かだい]が残[のこ]る,many issues still remain in this plan; kadai means task or issue.
この制度[せいど]の対象[たいしょう]は子[こ]どもがいる家族[かぞく]だ,this system targets families with children; taishou means target.
会社[かいしゃ]は今年[ことし]の決算[けっさん]を来月[らいげつ]出[だ]す,the company will release this year's accounts next month; kessan means settlement of accounts.
社員[しゃいん]の平均[へいきん]の賃金[ちんぎん]が去年[きょねん]より上[あ]がった,the average wage of employees rose over last year; heikin means average.
会社[かいしゃ]は客[きゃく]の動向[どうこう]を細[こま]かく調[しら]べている,the company studies customer trends in detail; doukou means trend or movement.
景気[けいき]の指標[しひょう]が先月[せんげつ]より少[すこ]し良[よ]くなった,economic indicators are slightly better than last month; shihyou means indicator.
この政策[せいさく]は外国[がいこく]でも高[たか]く評価[ひょうか]された,this policy was highly rated abroad too; hyouka means evaluation.
政府[せいふ]は景気[けいき]が悪[わる]くなることを懸念[けねん]している,the government is concerned that the economy will worsen; kenen suru means to be concerned.
政府[せいふ]は問題[もんだい]の大[おお]きさを正[ただ]しく認識[にんしき]している,the government correctly recognizes the size of the problem; ninshiki suru means to recognize.
政府[せいふ]は新[あたら]しい対策[たいさく]を検討[けんとう]している,the government is considering new measures; kentou suru means to examine.
政府[せいふ]は来月[らいげつ]から新[あたら]しい規制[きせい]を実施[じっし]する,the government will put the new regulation into effect next month; jisshi suru means to carry out.
会社[かいしゃ]は去年[きょねん]新[あたら]しい制度[せいど]を導入[どうにゅう]した,the company introduced a new system last year; dounyuu suru means to introduce.
今[いま]の生活[せいかつ]を維持[いじ]するのは難[むずか]しい,maintaining the current lifestyle is difficult; iji suru means to maintain.
会社[かいしゃ]は外国[がいこく]での仕事[しごと]を拡大[かくだい]する,the company will expand its work abroad; kakudai suru means to expand.
政府[せいふ]は来年[らいねん]から支出[ししゅつ]を縮小[しゅくしょう]する,the government will scale down spending from next year; shukushou suru means to reduce in scale.
会社[かいしゃ]は毎月[まいつき]の経費[けいひ]を大[おお]きく削減[さくげん]した,the company sharply cut its monthly expenses; sakugen suru means to cut down.
古[ふる]い制度[せいど]を来年[らいねん]廃止[はいし]する,the old system will be abolished next year; haishi suru means to abolish.
会社[かいしゃ]は事故[じこ]による損失[そんしつ]を補償[ほしょう]する,the company will compensate for losses from the accident; hoshou suru means to compensate.
会社[かいしゃ]は男女[だんじょ]の賃金[ちんぎん]の違[ちが]いを是正[ぜせい]する,the company will correct the wage gap between men and women; zesei suru means to rectify.
議員[ぎいん]は制度[せいど]を変[か]える提案[ていあん]をした,the lawmaker made a proposal to change the system; teian means proposal.
この会社[かいしゃ]は安[やす]いサービスを提供[ていきょう]する,this company provides cheap services; teikyou suru means to provide.
この計画[けいかく]の実現[じつげん]には長[なが]い時間[じかん]がかかる,realizing this plan will take a long time; jitsugen means realization.
会社[かいしゃ]は客[きゃく]の意見[いけん]に早[はや]く対応[たいおう]した,the company responded quickly to customer opinions; taiou suru means to respond.
小[ちい]さな自治体[じちたい]では働[はたら]く人[ひと]が足[た]りない,small local governments do not have enough workers; jichitai means local government.
市[し]は町[まち]をきれいにする新[あたら]しい条例[じょうれい]を作[つく]った,the city made a new ordinance to keep the town clean; jourei means local ordinance.
新[あたら]しい制度[せいど]の申請[しんせい]は来月[らいげつ]から始[はじ]まる,applications for the new system start next month; shinsei means application.
会社[かいしゃ]は事故[じこ]の原因[げんいん]を公表[こうひょう]した,the company made the cause of the accident public; kouhyou suru means to make public.
この仕事[しごと]の責任者[せきにんしゃ]には大[おお]きな権限[けんげん]がある,the person in charge of this work has great authority; kengen means authority.
会社[かいしゃ]はお金[かね]の使[つか]い方[かた]について監査[かんさ]を受[う]けた,the company underwent an audit of how it spends money; kansa means audit.
国[くに]の機関[きかん]が事故[じこ]の原因[げんいん]を調[しら]べる,a state agency will look into the cause of the accident; kikan means institution or agency.
委員会[いいんかい]がこの問題[もんだい]について議論[ぎろん]している,a committee is discussing this problem; iinkai means committee.
市[し]は古[ふる]い道路[どうろ]を来年[らいねん]までに整備[せいび]する,the city will fix up the old roads by next year; seibi suru means to develop or maintain.
この町[まち]には子[こ]どものための施設[しせつ]が少[すく]ない,this town has few facilities for children; shisetsu means facility.
駅[えき]の近[ちか]くに新[あたら]しい施設[しせつ]を建設[けんせつ]する,a new facility will be built near the station; kensetsu suru means to construct.
来年[らいねん]この都市[とし]で大[おお]きな会議[かいぎ]を開催[かいさい]する,a big conference will be held in this city next year; kaisai suru means to hold an event.
この町[まち]では一人[ひとり]で住[す]む世帯[せたい]が増[ふ]えている,single-person households are increasing in this town; setai means household.
この町[まち]では高齢者[こうれいしゃ]の数[かず]が増[ふ]え続[つづ]けている,the number of elderly people in this town keeps rising; koureisha means elderly person.
少子化[しょうしか]は日本[にほん]の大[おお]きな課題[かだい]だ,the falling birthrate is a major issue for Japan; shoushika means declining birthrate.
会社[かいしゃ]は外国[がいこく]で働[はたら]ける人材[じんざい]を探[さが]している,the company is looking for people able to work abroad; jinzai means talented staff.
病気[びょうき]で働[はたら]けない人[ひと]に給付[きゅうふ]が出[で]る,benefits are paid to people who cannot work because of illness; kyuufu means benefit payment.
年金[ねんきん]の制度[せいど]を変[か]える議論[ぎろん]が始[はじ]まった,debate has begun on changing the pension system; nenkin means pension.
政府[せいふ]は福祉[ふくし]にかかる費用[ひよう]を増[ふ]やす,the government will increase welfare spending; fukushi means welfare.
政府[せいふ]は子[こ]どもを育[そだ]てる家族[かぞく]への支援[しえん]を増[ふ]やす,the government will boost support for families raising children; shien means support.
国[くに]は小[ちい]さな会社[かいしゃ]にも補助[ほじょ]を出[だ]している,the state gives subsidies to small companies too; hojo means subsidy.
その事故[じこ]で二人[ふたり]の男[おとこ]が死亡[しぼう]した,two men died in that accident; shibou suru means to die.
冬[ふゆ]になると子[こ]どもの間[あいだ]で病気[びょうき]が流行[りゅうこう]する,illness spreads among children when winter comes; ryuukou suru means to be prevalent.
患者[かんじゃ]は病院[びょういん]で新[あたら]しい治療[ちりょう]を受[う]けた,the patient received a new treatment at the hospital; chiryou means treatment.
医者[いしゃ]は父[ちち]の病気[びょうき]を正[ただ]しく診断[しんだん]した,the doctor correctly diagnosed my father's illness; shindan suru means to diagnose.
熱[ねつ]が出[で]る症状[しょうじょう]が三日[みっか]続[つづ]いた,the fever symptom lasted three days; shoujou means symptom.
病院[びょういん]で体[からだ]の検査[けんさ]を受[う]けた,I had a physical examination at the hospital; kensa means test or inspection.
医者[いしゃ]は朝[あさ]から長[なが]い手術[しゅじゅつ]を行[おこな]った,the doctor performed a long operation from morning; shujutsu means surgery.
病気[びょうき]の感染[かんせん]が学校[がっこう]で広[ひろ]がった,the infection spread at the school; kansen means infection.
手[て]を洗[あら]うことは病気[びょうき]の予防[よぼう]になる,washing your hands helps prevent illness; yobou means prevention.
一度[いちど]病気[びょうき]になると体[からだ]に免疫[めんえき]ができる,once you get the illness your body builds immunity; meneki means immunity.
人[ひと]の体[からだ]は小[ちい]さな細胞[さいぼう]からできている,the human body is made of tiny cells; saibou means cell.
医者[いしゃ]は病気[びょうき]と遺伝子[いでんし]の関係[かんけい]を調[しら]べている,doctors are studying the link between illness and genes; idenshi means gene.
大学[だいがく]の学者[がくしゃ]が新[あたら]しい薬[くすり]について話[はな]した,a university scholar spoke about a new drug; gakusha means scholar.
星[ほし]の動[うご]きを長[なが]い時間[じかん]観察[かんさつ]した,they observed the movement of the stars for a long time; kansatsu suru means to observe.
集[あつ]めた数字[すうじ]を細[こま]かく分析[ぶんせき]する,they analyze the collected figures in detail; bunseki suru means to analyze.
実験[じっけん]で出[で]た数値[すうち]をもう一度[いちど]分析[ぶんせき]する,they analyze the values from the experiment once more; suuchi means numerical value.
実験[じっけん]の結果[けっか]を別[べつ]の方法[ほうほう]で検証[けんしょう]する,they verify the experiment's results by another method; kenshou suru means to verify.
研究[けんきゅう]の仮説[かせつ]を実験[じっけん]で確[たし]かめる,they test the research hypothesis by experiment; kasetsu means hypothesis.
この理論[りろん]が正[ただ]しいかどうかまだ分[わ]からない,it is still unclear whether this theory is correct; riron means theory.
この物質[ぶっしつ]は人[ひと]の体[からだ]に良[よ]くない,this substance is not good for the human body; busshitsu means substance.
研究[けんきゅう]の結果[けっか]を来月[らいげつ]の学会[がっかい]で話[はな]す,they will present the research results at next month's academic meeting; gakkai means academic society.
夏[なつ]は電力[でんりょく]が足[た]りなくなる心配[しんぱい]がある,in summer there is worry that electric power runs short; denryoku means electric power.
この国[くに]は石油[せきゆ]の多[おお]くを外国[がいこく]から買[か]っている,this country buys most of its oil from abroad; sekiyu means petroleum.
海[うみ]の近[ちか]くで強[つよ]い風[かぜ]を使[つか]って発電[はつでん]する,they generate electricity from strong wind near the sea; hatsuden suru means to generate power.
車[くるま]から出[で]るガスの排出[はいしゅつ]を減[へ]らす,they will cut the emission of gas from cars; haishutsu means emission.
地球[ちきゅう]の温暖化[おんだんか]が大[おお]きな問題[もんだい]になっている,global warming has become a big problem; ondanka means warming.
会社[かいしゃ]は古[ふる]い機械[きかい]を安全[あんぜん]に廃棄[はいき]した,the company safely disposed of the old machines; haiki suru means to dispose of.
この町[まち]の工業[こうぎょう]は外国[がいこく]への輸出[ゆしゅつ]で大[おお]きくなった,this town's industry grew through exports abroad; kougyou means manufacturing industry.
強[つよ]い雨[あめ]で多[おお]くの人[ひと]が学校[がっこう]に避難[ひなん]した,heavy rain made many people evacuate to the school; hinan suru means to evacuate.
災害[さいがい]からの復興[ふっこう]には長[なが]い時間[じかん]がかかる,recovery from the disaster takes a long time; fukkou means reconstruction.
その事故[じこ]で多[おお]くの人[ひと]が犠牲[ぎせい]になった,many people lost their lives in that accident; gisei means sacrifice or victim.
戦争[せんそう]で多[おお]くの難民[なんみん]が隣[となり]の国[くに]に入[はい]った,war drove many refugees into the neighboring country; nanmin means refugee.
この古[ふる]い建物[たてもの]は世界[せかい]遺産[いさん]に選[えら]ばれた,this old building was chosen as a world heritage site; isan means heritage.
会社[かいしゃ]は問題[もんだい]に対[たい]する姿勢[しせい]を変[か]えた,the company changed its stance toward the problem; shisei means attitude or posture.
来年[らいねん]の景気[けいき]の見通[みとお]しは明[あか]るくない,the outlook for next year's economy is not bright; mitooshi means outlook.
この計画[けいかく]は景気[けいき]が良[よ]くなる前提[ぜんてい]で作[つく]られた,this plan was made on the premise that the economy improves; zentei means premise.
その主張[しゅちょう]には十分[じゅうぶん]な根拠[こんきょ]がない,that claim has no sufficient grounds; konkyo means grounds or basis.
為替[かわせ]の動[うご]きは会社[かいしゃ]の利益[りえき]に影響[えいきょう]を及[およ]ぼす,currency moves exert an influence on company profits; oyobosu means to exert.
会社[かいしゃ]は社員[しゃいん]の求[もと]めに応[おう]じる,the company complies with its employees' requests; oujiru means to respond to.
この判決[はんけつ]は憲法[けんぽう]に基[もと]づいている,this verdict is based on the constitution; motozuku means to be based on.
若[わか]い客[きゃく]が全体[ぜんたい]の半分[はんぶん]を占[し]める,young customers make up half of the total; shimeru means to account for.
日曜日[にちようび]を除[のぞ]く毎日[まいにち]店[みせ]を開[あ]ける,the shop opens every day except Sunday; nozoku means to exclude.
兄[あに]は大学[だいがく]の研究[けんきゅう]グループに属[ぞく]する,my older brother belongs to a university research group; zoku suru means to belong to.
政府[せいふ]はこの問題[もんだい]で大[おお]きな役割[やくわり]を果[は]たす,the government plays a big role in this problem; hatasu means to fulfill.
会社[かいしゃ]は契約[けいやく]の内容[ないよう]を必[かなら]ず履行[りこう]する,the company will surely carry out the terms of the contract; rikou suru means to fulfill.
国[くに]の機関[きかん]が会社[かいしゃ]に働[はたら]き方[かた]の改善[かいぜん]を勧告[かんこく]した,a state agency advised the company to improve working conditions; kankoku suru means to formally recommend.
新[あたら]しい制度[せいど]で大[おお]きな問題[もんだい]が生[しょう]じる,a big problem arises under the new system; shoujiru means to arise.
憲法[けんぽう]を巡[めぐ]る議論[ぎろん]が長[なが]く続[つづ]いている,debate surrounding the constitution has long continued; meguru means to revolve around.
この商品[しょうひん]は新[あたら]しい規制[きせい]を満[み]たす,this product meets the new regulation; mitasu means to satisfy.
警察[けいさつ]は危険[きけん]な運転[うんてん]を取[と]り締[し]まる,the police crack down on dangerous driving; torishimaru means to crack down on.
今年[ことし]の利益[りえき]は去年[きょねん]を上回[うわまわ]る,this year's profit exceeds last year's; uwamawaru means to exceed.
今月[こんげつ]の売[う]り上[あ]げは予想[よそう]を下回[したまわ]った,this month's sales fell below expectations; shitamawaru means to fall below.
会社[かいしゃ]は毎月[まいつき]の費用[ひよう]を低[ひく]く抑[おさ]える,the company keeps monthly costs low; osaeru means to hold down.
政府[せいふ]は会社[かいしゃ]に外国[がいこく]への投資[とうし]を促[うなが]す,the government urges companies to invest abroad; unagasu means to urge.
少[すく]ない収入[しゅうにゅう]を夜[よる]の仕事[しごと]で補[おぎな]う,he makes up for a small income with a night job; oginau means to supplement.
一度[いちど]の事故[じこ]が会社[かいしゃ]の信用[しんよう]を損[そこ]なう,a single accident damages a company's credibility; sokonau means to harm.
強[つよ]すぎる規制[きせい]は会社[かいしゃ]の成長[せいちょう]を妨[さまた]げる,overly strong regulation hinders company growth; samatageru means to hinder.
冬[ふゆ]のために食[た]べ物[もの]を家[いえ]に蓄[たくわ]える,they store food at home for the winter; takuwaeru means to store up.
経験[けいけん]の多[おお]い社員[しゃいん]が若[わか]い人[ひと]を導[みちび]く,experienced employees guide the young ones; michibiku means to lead.
