es,en
**Es** para mí,"It's for me; ser in the present, for he/she/it — this is what it is, not how it happens to be right now."
No soy ningún **héroe**,I'm no hero; Masculine noun for a hero with la heroína for a woman.
Ya he **decidido**,"I've already decided; past participle of decidir (the -ed form, pairs with haber), used with he to say have decided."
No me gustan esas **películas**,I don't like those movies; Feminine plural of película meaning movies or films.
¿Quién es el **responsable**?,Who's in charge?; Noun taking el or la for the person in charge.
Necesito un **trago**,I need a drink; Masculine noun for a swallow or a shot of alcohol.
Ella **volverá** mañana,"She'll come back tomorrow; volver in the future, for he/she/it — to come back or return."
Está detrás del **árbol**,He's behind the tree; Masculine noun for a tree with plural árboles.
El niño no tiene **dientes**,The boy has no teeth; Masculine plural of diente meaning teeth.
Un **camión** pasó por aquí,A truck came by here; Masculine noun for a truck and in Mexico also a city bus.
No quiero **vender** la casa,"I don't want to sell the house; the plain form of vender, to sell — as on signs reading se vende."
Quiero que me **llame**,"I want him to call me; llamar in the subjunctive (after wishes, doubt, hopes), for he/she/it — to call, used after querer que."
Tenemos que **luchar**,"We have to fight; the plain form of luchar, to fight or struggle for something."
El **cabo** no dijo nada,The corporal said nothing; Masculine noun for an army corporal and also a cape of land.
¿Qué es ese **ruido**?,What's that noise?; Masculine noun for a noise usually an unwanted one.
La **lucha** no ha terminado,The fight isn't over; Feminine noun for a fight or struggle and also wrestling as a sport.
Nadie **muere** hoy,"Nobody dies today; morir in the present, for he/she/it — to die, with o becoming ue."
Mi **reloj** no funciona,My watch isn't working; Masculine noun for a clock or watch with plural relojes.
El **gato** está en la mesa,The cat is on the table; Masculine noun for a cat and also a car jack.
Vamos a **averiguar** la verdad,"We're going to find out the truth; the plain form of averiguar, to find something out by asking or digging."
Tengo miedo de **volar**,"I'm afraid of flying; the plain form of volar, to fly or to blow something up."
¿**Vendrá** tu padre?,"Will your father come?; venir in the future, for he/she/it — to come, built on the stem vendr-."
Salió **corriendo** de la casa,"He ran out of the house; the -ing form of correr, as in salir corriendo meaning to rush out."
Sigo **yendo** a clase,"I'm still going to class; the -ing form of ir, meaning going and used after seguir for continuing."
Mi hija va al **colegio**,My daughter goes to school; Masculine noun for a primary or secondary school often private.
No hace ningún **sonido**,It doesn't make a sound; Masculine noun for a sound and the volume on a device.
Es todo un **caballero**,He's a real gentleman; Masculine noun for a gentleman and the label on a men's room.
No sé el **código**,I don't know the code; Masculine noun for a code from a PIN to a legal code.
¿Qué quieres que **hagamos**?,"What do you want us to do?; hacer in the subjunctive (after wishes, doubt, hopes), for we — also used alone as let's do it."
No veo la **imagen**,I can't see the picture; Feminine noun for an image or picture with plural imágenes.
No vale el **riesgo**,It's not worth the risk; Masculine noun for a risk as in correr un riesgo.
Ya **llegamos** a casa,"We're home; llegar in the present, for we — to arrive, and this form looks the same as the past."
¿Hay **pan** en casa?,Is there bread at home?; Masculine noun for bread where un pan is a single loaf.
Vale un **millón** de dólares,It's worth a million dollars; Masculine noun for a million needing de before the noun counted.
La **dama** quiere hablar contigo,The lady wants to talk to you; Feminine noun for a lady in formal or old-fashioned use.
Quiero agua con **hielo**,I want water with ice; Masculine noun for ice as in romper el hielo to break the ice.
Se **cayó** en la calle,"He fell in the street; caer in the past, for he/she/it — to fall, it happened and it's over, usually used as caerse."
La **prensa** ya lo sabe,The press already knows; Feminine noun for the press as a whole and also a press machine.
Ellos **vengan** su muerte,"They avenge his death; vengar in the present, for they — to avenge someone or something."
Prefiero **caminar**,"I'd rather walk; the plain form of caminar, to walk or go on foot."
No hay nada en la **televisión**,There's nothing on TV; Feminine noun for television with el televisor for the set itself.
No **pasará** nada,"Nothing will happen; pasar in the future, for he/she/it — to happen or to pass."
Hay **momentos** así,There are moments like that; Masculine plural of momento as in por el momento meaning for now.
¿Puedo **coger** tu coche?,"Can I take your car?; the plain form of coger, to take or catch in Spain but vulgar in Latin America."
Hay una **posibilidad**,There's a chance; Feminine noun for a possibility or chance with plural posibilidades.
Ojalá **hubiese** venido,"I wish he had come; haber in the past subjunctive, for he/she/it — past unreal ideas like si hubiese sabido."
Ese es mi **asiento**,That's my seat; Masculine noun for a seat as in tomar asiento meaning have a seat.
El **proyecto** ha terminado,The project is finished; Masculine noun for a project or plan.
